mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
Holywatr;Alternative Metal;Holywatr;1496026557;2026-04-24 11:27:36
Horizon Ignited;Melodic Death Metal;Horizon Ignited;1445776667;2026-04-24 11:27:41
Horndal;Stoner Metal;Horndal;1234951513;2026-04-24 11:27:47
Hot Action Cop;Alternative;Hot Action Cop;335876;2026-04-24 11:27:52
Hot Milk;Alternative;Hot Milk;1449601841;2026-04-24 11:27:57
Hozier;Pop;;0;
Hypocrisy;Melodic Death Metal;Hypocrisy;15788810;2026-04-24 11:28:03
Hyro the Hero;Rap Metal;Hyro the Hero;429561895;2026-04-24 11:28:09
Ibaraki;Progressive Metal;Ibaraki;1601428639;2026-04-24 11:28:14
Ice Nine Kills;Metalcore;Ice Nine Kills;204318665;2026-04-24 11:28:20
ICS Vortex;Progressive Metal;ICS Vortex;284534047;2026-04-24 11:28:25
Igorrr;Progressive Metal;Igorrr;314463968;2026-04-24 11:28:31
Ihsahn;Progressive Metal;Ihsahn;152674496;2026-04-24 11:28:36
Ill Nino;Nu Metal;Ill Nino;5570230;2026-04-24 11:28:42
Imagine Dragons;Rock;Imagine Dragons;358714030;2026-04-24 11:28:49
Immortal;Black Metal;Immortal;15866288;2026-04-24 11:28:54
In Flames;Melodic Death Metal;In Flames;15866128;2026-04-24 11:29:00
Incubus;Alternative;Incubus;465707;2026-04-24 11:29:05
Infant Annihilator;Deathcore;Infant Annihilator;667542803;2026-04-24 11:29:11
Ingested;Technical Death Metal;Ingested;316626426;2026-04-24 11:29:16
Inhuman;Gothic Metal;Inhuman;1719972340;2026-04-24 11:29:21
Inna;Pop;;0;
Inna Syberia;Folk Metal;Inna Syberia;1619555284;2026-04-24 11:29:27
Inon Zur;Score;;0;
Insomnium;Melodic Death Metal;Insomnium;78949757;2026-04-24 11:29:33
Interloper;Progressive Metal;Interloper;1393307706;2026-04-24 11:29:38
IO;Alternative;;0;
Iommi;Hard Rock;;0;
Iotunn;Progressive Metal;Iotunn;1089858079;2026-04-24 11:29:44
Iron Horse;Bluegrass;Iron Horse;125711666;2026-04-24 11:29:49
Iron Maiden;Heavy Metal;Iron Maiden;546381;2026-04-24 11:29:55
Iron Savior;Power Metal;;0;
Izzy Reign;Alternative;Izzy Reign;1484488135;2026-04-24 11:30:01
Jane Air;Nu Metal;Jane Air;129659665;2026-04-24 11:30:08
Jared Dines;Deathcore;Jared Dines;957093644;2026-04-24 11:30:14
Jared James Nichols;Hard Rock;Jared James Nichols;534599711;2026-04-24 11:30:21
Jason Becker;Heavy Metal;;0;
Jason Derulo;R&B;Jason Derulo;259118085;2026-04-24 11:30:29
Jasta;Metalcore;Jasta;436625213;2026-04-24 11:30:34
Jennifer Lopez;Pop;Jennifer Lopez;463009;2026-04-24 11:30:42
Jeremy Soule;Score;;0;
Jidenna;Rap;Jidenna;963872688;2026-04-24 11:30:47
Jinjer;Progressive Metal;Jinjer;496694999;2026-04-24 11:30:53
Job for a Cowboy;Technical Death Metal;Job for a Cowboy;213177752;2026-04-24 11:30:58
John 5;Alternative;John 5;72181046;2026-04-24 11:31:04
John Fogerty;Rock;;0;
John Garcia and The Band of Gold;Stoner Metal;;0;
John Petrucci;Progressive Metal;John Petrucci;6910560;2026-04-24 11:31:09
John Powell;Score;;0;
John Williams;Score;;0;
Josh Turner;Country;Josh Turner;1883437;2026-04-24 11:31:15
Judicator;Power Metal;Judicator;660106105;2026-04-24 11:31:20
Justin Bieber;Pop;Justin Bieber;320569549;2026-04-24 11:31:27
Kadinja;Progressive Metal;Kadinja;908429460;2026-04-24 11:31:32
Kaipa;Progressive Rock;;0;
Kaledon;Power Metal;Kaledon;349837045;2026-04-24 11:31:38
Kaosis;Nu Metal;Kaosis;1302714053;2026-04-24 11:31:43
Karnivool;Progressive Rock;Karnivool;85099785;2026-04-24 11:31:49
Kataklysm;Death Metal;Kataklysm;15951546;2026-04-24 11:31:54
Katatonia;Doom Metal;Katatonia;73592787;2026-04-24 11:32:00
Katy Perry;Pop;Katy Perry;64387566;2026-04-24 11:32:08
Keith Wallen;Alternative;Keith Wallen;328886581;2026-04-24 11:32:13
Kesha;Pop;Kesha;334854763;2026-04-24 11:32:19
Keygen Church;Industrial Metal;Keygen Church;1450170610;2026-04-24 11:32:25
Khemmis;Doom Metal;Khemmis;1004631193;2026-04-24 11:32:30
Kid Rock;Rock;Kid Rock;252399;2026-04-24 11:32:36
Kiesza;Pop;;0;
Kiko Loureiro;Progressive Metal;Kiko Loureiro;202098188;2026-04-24 11:32:41
Kill Devil Hill;Heavy Metal;Kill Devil Hill;216252398;2026-04-24 11:32:47
Kill the Noise;EDM;Kill the Noise;280835500;2026-04-24 11:32:53
Killswitch Engage;Metalcore;Killswitch Engage;14268438;2026-04-24 11:32:59
Kingsmen;Metalcore;Kingsmen;1450535649;2026-04-24 11:33:04
Kittie;Nu Metal;Kittie;5576674;2026-04-24 11:33:09
Knife Bride;Alternative;Knife Bride;1601998574;2026-04-24 11:33:15
Knife Party;EDM;Knife Party;440719207;2026-04-24 11:33:20
KoreNNь & Platon;Hip-Hop;;0;
Korn;Nu Metal;Korn;466532;2026-04-24 11:33:26
Kryoburn;Industrial Metal;;0;
Lacuna Coil;Gothic Metal;Lacuna Coil;18030160;2026-04-24 11:33:32
Lady Gaga;Pop;Lady Gaga;277293880;2026-04-24 11:33:39
Lake of Silence;Metal;Lake of Silence;1785017394;2026-04-24 11:33:45
Lamb of God;Groove Metal;Lamb of God;18758452;2026-04-24 11:33:51
Larcenia Roe;Deathcore;Larcenia Roe;1687417810;2026-04-24 11:33:56
League of Distortion;Alternative;League of Distortion;1631608480;2026-04-24 11:34:01
Leander Rising;Metal;Leander Rising;530875466;2026-04-24 11:34:07
Led Zeppelin;Hard Rock;Led Zeppelin;994656;2026-04-24 11:34:12
Left to Suffer;Metalcore;Left to Suffer;1455594195;2026-04-24 11:34:18
Lethal Injektion;Rap Metal;Lethal Injektion;1064503590;2026-04-24 11:34:24
Lifehouse;Alternative;Lifehouse;3447393;2026-04-24 11:34:29
Light the Torch;Metalcore;Light the Torch;1338913478;2026-04-24 11:34:35
Lil Wayne;Rap;;0;
Limp Bizkit;Nu Metal;Limp Bizkit;105544;2026-04-24 11:34:41
Lindemann;Industrial Metal;Lindemann;19561015;2026-04-24 11:34:46
Lindemann;Industrial Metal;Lindemann;20851094;2026-04-24 11:34:52
Linkin Park;Alternative;Linkin Park;148662;2026-04-24 11:34:58
Liquid Tension Experiment;Progressive Metal;Liquid Tension Experiment;149011322;2026-04-24 11:35:04
Little Big;Rave;Little Big;310964912;2026-04-24 11:35:09
Lord of the Lost;Gothic Metal;Lord of the Lost;327165319;2026-04-24 11:35:16
Lorna Shore;Deathcore;Lorna Shore;385220213;2026-04-24 11:35:22
Lost Society;Thrash Metal;Lost Society;572977787;2026-04-24 11:35:27
Lostprophets;Alternative;Lostprophets;473514;2026-04-24 11:35:33
Louna;Alternative;Louna;410063121;2026-04-24 11:35:38
Love and Death;Nu Metal;Love and Death;517704185;2026-04-24 11:35:44
Ludovico Einaudi;Modern Classical;Ludovico Einaudi;7420827;2026-04-24 11:35:50
Machinae Supremacy;Power Metal;;0;
Machine Head;Groove Metal;Machine Head;16638695;2026-04-24 11:35:56
Madonna;Pop;Madonna;20044;2026-04-24 11:36:04
Magnolia Park;Alternative;Magnolia Park;1413545983;2026-04-24 11:36:09
Maitre Gims;Hip-Hop;Maitre Gims;458659054;2026-04-24 11:36:18
Malevolence;Groove Metal;Malevolence;267420258;2026-04-24 11:36:23
Mammoth;Hard Rock;Mammoth;1808750544;2026-04-24 11:36:28
Maneskin;Rock;Maneskin;1312874741;2026-04-24 11:36:34
Manimal;Heavy Metal;Manimal;942669462;2026-04-24 11:36:40
Manowar;Heavy Metal;Manowar;157798;2026-04-24 11:36:45
Marcin Przybylowicz;Score;;0;
Marilyn Manson;Alternative;Marilyn Manson;251375;2026-04-24 11:36:51
Mark Morton;Metal;Mark Morton;1445459220;2026-04-24 11:36:57
Mark Ronson;Hip-Hop;Mark Ronson;14400049;2026-04-24 11:37:03
Marko Hietala;Heavy Metal;Marko Hietala;264611177;2026-04-24 11:37:09
Marty Friedman;Heavy Metal;Marty Friedman;4511319;2026-04-24 11:37:15
Master Boot Record;Industrial Metal;Master Boot Record;1216150815;2026-04-24 11:37:20
Mastodon;Progressive Metal;Mastodon;65922937;2026-04-24 11:37:26
Maximum the Hormone;Alternative;Maximum the Hormone;347905413;2026-04-24 11:37:31
Me and That Man;Country;Me and That Man;1185006747;2026-04-24 11:37:36
Megadeth;Thrash Metal;Megadeth;488289;2026-04-24 11:37:42
Mental Cruelty;Deathcore;Mental Cruelty;1183485446;2026-04-24 11:37:48
Mercenary;Melodic Death Metal;Mercenary;80073958;2026-04-24 11:37:53
Mercyful Fate;Heavy Metal;Mercyful Fate;60363022;2026-04-24 11:37:59
Meshuggah;Progressive Metal;Meshuggah;17304969;2026-04-24 11:38:04
Mestis;Progressive Metal;Mestis;578277708;2026-04-24 11:38:10
Metal Allegiance;Metal;Metal Allegiance;1019310481;2026-04-24 11:38:15
Metallica;Heavy Metal;Metallica;3996865;2026-04-24 11:38:22
Methods of Mayhem;Rap Metal;Methods of Mayhem;13115975;2026-04-24 11:38:27
Michael Jackson;Pop;Michael Jackson;32940;2026-04-24 11:38:33
Mick Gordon;Industrial Metal;Mick Gordon;469318624;2026-04-24 11:38:39
Miley Cyrus;Pop;Miley Cyrus;137057909;2026-04-24 11:38:45
Misanthrope;Metal;;0;
Miseration;Melodic Death Metal;Miseration;288232948;2026-04-24 11:38:50
Misfire;Thrash Metal;Misfire;1605840904;2026-04-24 11:38:55
Miss Fortune;Alternative;Miss Fortune;4366875;2026-04-24 11:39:01
Mister Misery;Alternative;Mister Misery;1469081126;2026-04-24 11:39:06
MMXX;Gothic Metal;MMXX;1470690802;2026-04-24 11:39:12
Mnemic;Industrial Metal;Mnemic;6842435;2026-04-24 11:39:17
Mob Rules;Power Metal;Mob Rules;199424890;2026-04-24 11:39:22
MolyBaron;Alternative;Molybaron;1224964390;2026-04-24 11:39:28
Monument of a Memory;Metalcore;Monument of a Memory;1013087052;2026-04-24 11:39:33
Monuments;Progressive Metal;Monuments;128844824;2026-04-24 11:39:39
Morandi;Pop;;0;
Mors Principium Est;Melodic Death Metal;Mors Principium Est;131210723;2026-04-24 11:39:44
Motionless in White;Metalcore;Motionless in White;266666216;2026-04-24 11:39:50
Motley Crue;Glam Metal;Motley Crue;284113;2026-04-24 11:39:56
Motorhead;Heavy Metal;Motorhead;539605;2026-04-24 11:40:03
Mudvayne;Nu Metal;Mudvayne;468521;2026-04-24 11:40:10
Muse;Alternative;Muse;1093360;2026-04-24 11:40:15
My Autumn;Deathcore;;0;
My Darkest Days;Hard Rock;My Darkest Days;377449574;2026-04-24 11:40:21
My Dying Bride;Doom Metal;My Dying Bride;73591048;2026-04-24 11:40:27
Myles Kennedy;Hard Rock;Myles Kennedy;471321;2026-04-24 11:40:32
Myrath;Progressive Metal;Myrath;317299570;2026-04-24 11:40:38
Nailed to Obscurity;Doom Metal;Nailed to Obscurity;343293037;2026-04-24 11:40:44
Native James;Rap Metal;Native James;1181149890;2026-04-24 11:40:49
Necrophagist;Technical Death Metal;Necrophagist;73982981;2026-04-24 11:40:54
Nero;EDM;Nero;2897799;2026-04-24 11:41:01
New Years Day;Alternative;New Years Day;205776793;2026-04-24 11:41:06
Newsted;Heavy Metal;Newsted;278116755;2026-04-24 11:41:12
Nicholas Hooper;Score;;0;
Nickelback;Alternative;Nickelback;5280361;2026-04-24 11:41:18
Nicki Minaj;Hip-Hop;Nicki Minaj;278464538;2026-04-24 11:41:27
Night Soil;Death Metal;;0;
Nightrage;Melodic Death Metal;Nightrage;19092957;2026-04-24 11:41:32
Nightwish;Symphonic Metal;Nightwish;2898807;2026-04-24 11:41:39
Nik Nocturnal;Metalcore;Nik Nocturnal;1325344302;2026-04-24 11:41:46
Nile;Technical Death Metal;Nile;65885099;2026-04-24 11:41:51
Nintendo;Hip-Hop;Nintendo;472554595;2026-04-24 11:41:56
Nirvana;Grunge;Nirvana;112018;2026-04-24 11:42:02
Nita Strauss;Metal;Nita Strauss;628452620;2026-04-24 11:42:08
No One;Nu Metal;No One;1021580182;2026-04-24 11:42:13
Noize MC;Alternative;Noize MC;292138099;2026-04-24 11:42:19
Nonpoint;Nu Metal;Nonpoint;39213;2026-04-24 11:42:25
Nox Doloris;Symphonic Black Metal;Nox Doloris;697181311;2026-04-24 11:42:30
Nuclear Power Trio;Progressive Metal;Nuclear Power Trio;1263618368;2026-04-24 11:42:36
Oasis;Alternative;;0;
Obituary;Death Metal;Obituary;16645051;2026-04-24 11:42:41
Obscura;Technical Death Metal;Obscura;42373693;2026-04-24 11:42:47
Of Mice & Men;Metalcore;Of Mice & Men;127357180;2026-04-24 11:42:52
Old Gods of Asgard;Hard Rock;Old Gods of Asgard;504527242;2026-04-24 11:42:57
Omi;Pop;;0;
OneRepublic;Rock;OneRepublic;260414340;2026-04-24 11:43:05
Oni;Metalcore;Oni;192877221;2026-04-24 11:43:11
Opeth;Progressive Metal;Opeth;3196120;2026-04-24 11:43:17
Oracles;Melodic Death Metal;Oracles;448541782;2026-04-24 11:43:22
Orbit Culture;Melodic Death Metal;Orbit Culture;691240064;2026-04-24 11:43:28
Orden Ogan;Power Metal;Orden Ogan;271815617;2026-04-24 11:43:33
Orphanage;Gothic Metal;Orphanage;20101373;2026-04-24 11:43:39
Orphaned Land;Folk Metal;Orphaned Land;18243552;2026-04-24 11:43:44
Orpheus Omega;Melodic Death Metal;Orpheus Omega;640829214;2026-04-24 11:43:50
Otep;Nu Metal;Otep;6218880;2026-04-24 11:43:55
Ottto;Hard Rock;Ottto;1484238276;2026-04-24 11:44:01
Ov Sulfur;Deathcore;Ov Sulfur;1549672851;2026-04-24 11:44:06
Ozzy Osbourne;Heavy Metal;Ozzy Osbourne;886834;2026-04-24 11:44:13
P.O.D.;Nu Metal;POD;626650;2026-04-24 11:44:19
Pain of Salvation;Progressive Metal;Pain of Salvation;188155872;2026-04-24 11:44:24
Pantera;Groove Metal;Pantera;155209;2026-04-24 11:44:30
Papa Roach;Nu Metal;Papa Roach;3445763;2026-04-24 11:44:36
Paradise Slaves;Metalcore;Paradise Slaves;1772889922;2026-04-24 11:44:41
Paralydium;Progressive Metal;Paralydium;1484547434;2026-04-24 11:44:47
Parkway Drive;Metalcore;Parkway Drive;166667737;2026-04-24 11:44:52
Patrick Doyle;Score;;0;
Paul Romero;Score;;0;
Pendulum;EDM;Pendulum;118007099;2026-04-24 11:44:59
Pentakill;Heavy Metal;Pentakill;870541409;2026-04-24 11:45:04
Perimeter;Industrial Metal;Perimeter;1559752622;2026-04-24 11:45:10
Periphery;Progressive Metal;Periphery;187683869;2026-04-24 11:45:15
Persefone;Progressive Metal;Persefone;337247603;2026-04-24 11:45:21
Peyton Parrish;Metal;Peyton Parrish;789938918;2026-04-24 11:45:27
Phil Campbell;Hard Rock;Phil Campbell;1156839466;2026-04-24 11:45:32
Philippe Charron;Score;;0;
Pink;Pop;Pink;4488522;2026-04-24 11:45:40
Pink Floyd;Progressive Rock;Pink Floyd;487143;2026-04-24 11:45:46
Pleymo;Nu Metal;Pleymo;14487204;2026-04-24 11:45:51
Pomegranate Tiger;Progressive Metal;Pomegranate Tiger;595914612;2026-04-24 11:45:57
Pomplamoose;Pop;;0;
Poppy;Alternative;Poppy;1004130511;2026-04-24 11:46:03
Post Malone;Rap;Post Malone;966309175;2026-04-24 11:46:09
Power Paladin;Power Metal;Power Paladin;1540478964;2026-04-24 11:46:15
Powerflo;Rap Metal;Powerflo;1227138817;2026-04-24 11:46:20
Powerman 5000;Nu Metal;Powerman 5000;1093515;2026-04-24 11:46:26
Powerwolf;Power Metal;Powerwolf;272130237;2026-04-24 11:46:31
Protest the Hero;Progressive Metal;Protest the Hero;28721874;2026-04-24 11:46:37
Puddle of Mudd;Alternative;Puddle of Mudd;109754;2026-04-24 11:46:43
Pulse Ultra;Alternative;Pulse Ultra;151045;2026-04-24 11:46:48
Purson;Progressive Rock;Purson;516682295;2026-04-24 11:46:53
Pustulant Flesh;Death Metal;Pustulant Flesh;1826083930;2026-04-24 11:46:59
Pyramaze;Power Metal;Pyramaze;41865640;2026-04-24 11:47:04
Quadvium;Progressive Metal;Quadvium;1799036399;2026-04-24 11:47:09
Queen;Rock;Queen;3296287;2026-04-24 11:47:17
Rage;Power Metal;Rage;3261481;2026-04-24 11:47:22
Rage Against the Machine;Rap Metal;Rage Against the Machine;899409;2026-04-24 11:47:28
Rain Paris;Alternative;;0;
Rainbow;Hard Rock;Rainbow;51688;2026-04-24 11:47:33
Ramin Djawadi;Score;;0;
Rammstein;Industrial Metal;Rammstein;408932;2026-04-24 11:47:39
Raunchy;Alternative;Raunchy;17511114;2026-04-24 11:47:46
Red;Alternative;Red;214135551;2026-04-24 11:47:51
Red Hot Chili Peppers;Alternative;Red Hot Chili Peppers;889780;2026-04-24 11:47:57
Refuge;Power Metal;Refuge;1386551631;2026-04-24 11:48:03
ReinXeed;Power Metal;;0;
Renunciation;Symphonic Black Metal;Renunciation;1491622798;2026-04-24 11:48:08
Repentance;Metalcore;Repentance;1584778122;2026-04-24 11:48:13
Return to Dust;Alternative;Return to Dust;1631598530;2026-04-24 11:48:19
Revolution Harmony;Metal;;0;
Rihanna;R&B;Rihanna;63346553;2026-04-24 11:48:27
Rings of Saturn;Technical Death Metal;Rings of Saturn;373843476;2026-04-24 11:48:32
Rise to Remain;Metalcore;Rise to Remain;440770281;2026-04-24 11:48:38
Rivers of Nihil;Progressive Metal;Rivers of Nihil;687192633;2026-04-24 11:48:43
Ryujin;Power Metal;Ryujin;1674741887;2026-04-24 11:48:49
Sabaton;Power Metal;Sabaton;184065032;2026-04-24 11:48:55
Sadus;Thrash Metal;Sadus;268594195;2026-04-24 11:49:00
Saffire;Hard Rock;Saffire;299850725;2026-04-24 11:49:05
Saint Asonia;Alternative;Saint Asonia;994032832;2026-04-24 11:49:11
Sakoya;Alternative;Sakoya;1490523214;2026-04-24 11:49:16
Saliva;Nu Metal;Saliva;391630;2026-04-24 11:49:22
Sanctity;Thrash Metal;Sanctity;16054731;2026-04-24 11:49:28
Sanguine Glacialis;Symphonic Metal;Sanguine Glacialis;1330668835;2026-04-24 11:49:33
Santana;Rock;;0;
Satan;Heavy Metal;Satan;27051147;2026-04-24 11:49:39
Savage Hands;Alternative;Savage Hands;1334753645;2026-04-24 11:49:44
Scar Symmetry;Melodic Death Metal;Scar Symmetry;81695527;2026-04-24 11:49:50
Scars on Broadway;Alternative;Scars on Broadway;1810454952;2026-04-24 11:49:55
Scene Queen;Nu Metal;Scene Queen;1563763617;2026-04-24 11:50:00
Scorpions;Hard Rock;Scorpions;602212;2026-04-24 11:50:07
Scotch;Alternative;;0;
Sebastien Thifault;Score;;0;
Seether;Alternative;Seether;92713141;2026-04-24 11:50:13
Sepultura;Thrash Metal;Sepultura;918092;2026-04-24 11:50:19
Serenity;Power Metal;Serenity;561583302;2026-04-24 11:50:24
Serj Tankian;Alternative;Serj Tankian;82647909;2026-04-24 11:50:31
Serpentine Dominion;Death Metal;Serpentine Dominion;1141476328;2026-04-24 11:50:36
Sevendust;Alternative;Sevendust;13125174;2026-04-24 11:50:41
Shadow of Intent;Melodic Death Metal;Shadow of Intent;897993639;2026-04-24 11:50:47
Shokran;Progressive Metal;Shokran;821618900;2026-04-24 11:50:53
Sia;Pop;Sia;28721078;2026-04-24 11:51:01
Siamese;Alternative;Siamese;1236907075;2026-04-24 11:51:07
Silly Goose;Rap Metal;Silly Goose;1584399710;2026-04-24 11:51:13
Sinsaenum;Death Metal;Sinsaenum;1116060677;2026-04-24 11:51:18
Sion;Metalcore;Sion;1555418843;2026-04-24 11:51:23
Six Feet Under;Death Metal;Six Feet Under;28917807;2026-04-24 11:51:29
Sixx:A.M.;Hard Rock;Sixx AM;257823434;2026-04-24 11:51:34
Skindred;Nu Metal;Skindred;5298947;2026-04-24 11:51:40
Skrillex;EDM;Skrillex;356545647;2026-04-24 11:51:46
Slade;Glam Rock;Slade;13132485;2026-04-24 11:51:53
Slash;Hard Rock;Slash;115556;2026-04-24 11:51:59
Slaughter to Prevail;Deathcore;Slaughter to Prevail;1000804900;2026-04-24 11:52:04
Slayer;Thrash Metal;Slayer;414425;2026-04-24 11:52:10
Sleep Token;Metal;Sleep Token;1153723033;2026-04-24 11:52:15
Slipknot;Nu Metal;Slipknot;6907568;2026-04-24 11:52:21
Slope;Alternative;Slope;1693881372;2026-04-24 11:52:26
Smackbound;Alternative;Smackbound;1468672845;2026-04-24 11:52:31
Snoop Dogg;Rap;Snoop Dogg;21769;2026-04-24 11:52:41
Snoop Lion;Rap;Snoop Lion;547416867;2026-04-24 11:52:47
Soen;Progressive Metal;Soen;423817511;2026-04-24 11:52:52
Soften the Glare;Progressive Rock;Soften the Glare;1273280741;2026-04-24 11:52:59
Soilwork;Melodic Death Metal;Soilwork;6767103;2026-04-24 11:53:04
Solence;Alternative;Solence;563152754;2026-04-24 11:53:10
Solution .45;Melodic Death Metal;Solution 45;363090144;2026-04-24 11:53:15
Sonata Arctica;Power Metal;Sonata Arctica;29048370;2026-04-24 11:53:22
Sons of Apollo;Progressive Metal;Sons of Apollo;348367792;2026-04-24 11:53:27
Sons of Texas;Groove Metal;Sons of Texas;950328612;2026-04-24 11:53:32
Sonya Belousova & Giona Ostinelli;Score;;0;
Soulfly;Groove Metal;Soulfly;15772893;2026-04-24 11:53:38
Spineshank;Nu Metal;Spineshank;15772823;2026-04-24 11:53:43
Spiritbox;Metal;Spiritbox;1293047384;2026-04-24 11:53:49
Spite;Deathcore;Spite;261493655;2026-04-24 11:53:54
SR-71;Punk Rock;SR-71;215778;2026-04-24 11:54:00
Staind;Nu Metal;Staind;613161;2026-04-24 11:54:05
Stardown;Groove Metal;Stardown;447352078;2026-04-24 11:54:11
Starset;Alternative;Starset;669248603;2026-04-24 11:54:16
Static-X;Industrial Metal;Static-X;161690;2026-04-24 11:54:23
Steel Panther;Glam Metal;Steel Panther;302709189;2026-04-24 11:54:29
Stellar Circuits;Progressive Metal;Stellar Circuits;1042313094;2026-04-24 11:54:34
Steve 'n' Seagulls;Bluegrass;Steve n Seagulls;981357713;2026-04-24 11:54:40
Stigmata;Metalcore;Stigmata;1003940079;2026-04-24 11:54:46
Stone Broken;Hard Rock;Stone Broken;287105142;2026-04-24 11:54:51
Stone Sour;Alternative;Stone Sour;16643509;2026-04-24 11:54:57
Storm Seeker;Folk Metal;Storm Seeker;1104994009;2026-04-24 11:55:02
Story of the Year;Alternative;Story of the Year;2417172;2026-04-24 11:55:08
Stratovarius;Power Metal;Stratovarius;6557658;2026-04-24 11:55:14
Stuck Mojo;Rap Metal;Stuck Mojo;36021999;2026-04-24 11:55:19
Suicide Silence;Deathcore;Suicide Silence;181915332;2026-04-24 11:55:25
Sum 41;Punk Rock;Sum 41;249591;2026-04-24 11:55:31
Sumatra;Deathcore;Sumatra;1501307689;2026-04-24 11:55:36
Suotana;Melodic Death Metal;Suotana;1047599951;2026-04-24 11:55:42
Sweet;Glam Rock;Sweet;492548;2026-04-24 11:55:48
Switched;Nu Metal;Switched;78030544;2026-04-24 11:55:54
Sworn In;Metalcore;Sworn In;126384053;2026-04-24 11:55:59
Symphony X;Progressive Metal;Symphony X;181601973;2026-04-24 11:56:05
Syncatto;Progressive Metal;Syncatto;1082238720;2026-04-24 11:56:10
System of a Down;Alternative;System of a Down;462715;2026-04-24 11:56:16
Takida;Alternative;Takida;128465509;2026-04-24 11:56:21
Tallah;Nu Metal;Tallah;137058200;2026-04-24 11:56:27
Tarja;Symphonic Metal;Tarja;264641364;2026-04-24 11:56:33
Taylor Swift;Pop;Taylor Swift;159260351;2026-04-24 11:56:42
Ten56;Metalcore;Ten56;1556817098;2026-04-24 11:56:47
Tenet;Thrash Metal;;0;
Teramaze;Progressive Metal;Teramaze;284809113;2026-04-24 11:56:53
Tesseract;Progressive Metal;TesseracT;279204661;2026-04-24 11:56:59
Testament;Thrash Metal;Testament;157139;2026-04-24 11:57:05
Texas Hippie Coalition;Groove Metal;Texas Hippie Coalition;275099992;2026-04-24 11:57:10
The 69 Eyes;Gothic Rock;The 69 Eyes;61138147;2026-04-24 11:57:17
The Acacia Strain;Deathcore;The Acacia Strain;253042890;2026-04-24 11:57:23
The Agonist;Melodic Death Metal;The Agonist;259346705;2026-04-24 11:57:28
The All-American Rejects;Punk Rock;The All-American Rejects;3447642;2026-04-24 11:57:34
The Animal in Me;Alternative;The Animal in Me;579836835;2026-04-24 11:57:41
The Apex Theory;Alternative;The Apex Theory;3446364;2026-04-24 11:57:46
The Beatles;Rock & Roll;The Beatles;136975;2026-04-24 11:57:52
The Black Dahlia Murder;Melodic Death Metal;The Black Dahlia Murder;53265055;2026-04-24 11:57:58
The Bones of J.R. Jones;Alternative;The Bones of J.R. Jones;511215697;2026-04-24 11:58:04
The Butcher Sisters;Rap Metal;The Butcher Sisters;1157406413;2026-04-24 11:58:09
The Buzzhorn;Alternative;The Buzzhorn;151092;2026-04-24 11:58:15
The Cost;Alternative;The Cost;1732933328;2026-04-24 11:58:20
The Dark Element;Symphonic Metal;The Dark Element;1271719224;2026-04-24 11:58:25
The Dark Side of the Moon;Symphonic Metal;The Dark Side of the Moon;1577812052;2026-04-24 11:58:31
The Faceless;Technical Death Metal;The Faceless;218291847;2026-04-24 11:58:37
The Few Against Many;Melodic Death Metal;The Few Against Many;355237757;2026-04-24 11:58:42
The Funeral Portrait;Alternative;The Funeral Portrait;917467004;2026-04-24 11:58:48
The Gloom in the Corner;Metalcore;The Gloom in the Corner;1163152336;2026-04-24 11:58:53
The Halo Effect;Melodic Death Metal;The Halo Effect;1592180647;2026-04-24 11:58:59
The Korea;Metalcore;The Korea;494609338;2026-04-24 11:59:05
The Oath;Heavy Metal;The Oath;1017443475;2026-04-24 11:59:10
The Offering;Groove Metal;The Offering;75680722;2026-04-24 11:59:15
The Offspring;Punk Rock;The Offspring;2820865;2026-04-24 11:59:21
The Old Dead Tree;Progressive Metal;The Old Dead Tree;73384726;2026-04-24 11:59:27
The Pretty Wild;Alternative;The Pretty Wild;1576555346;2026-04-24 11:59:32
The Prodigy;Rave;The Prodigy;1093102;2026-04-24 11:59:39
The Raven Age;Metal;The Raven Age;891638660;2026-04-24 11:59:45
The Showdown;Groove Metal;The Showdown;28682997;2026-04-24 11:59:50
The Shredderz;Thrash Metal;The Shredderz;1678040383;2026-04-24 11:59:55
The Stranded;Melodic Death Metal;The Stranded;511924458;2026-04-24 12:00:01
The Troops of Doom;Thrash Metal;The Troops of Doom;1522554654;2026-04-24 12:00:06
The Unguided;Melodic Death Metal;The Unguided;423971933;2026-04-24 12:00:12
The Used;Alternative;;0;
The Veronicas;Pop;The Veronicas;74214491;2026-04-24 12:00:18
The Violent Hour;Metal;The Violent Hour;1802068825;2026-04-24 12:00:23
The Weeknd;R&B;The Weeknd;479756766;2026-04-24 12:00:31
Therion;Symphonic Metal;Therion;15978957;2026-04-24 12:00:37
Thousand Foot Krutch;Alternative;Thousand Foot Krutch;5360702;2026-04-24 12:00:43
Three Days Grace;Alternative;Three Days Grace;1973668;2026-04-24 12:00:49
Threshold;Progressive Metal;Threshold;99418200;2026-04-24 12:00:54
Throne of Chaos;Melodic Death Metal;Throne of Chaos;220299990;2026-04-24 12:00:59
Throwdown;Groove Metal;Throwdown;4007460;2026-04-24 12:01:05
Thy Art Is Murder;Deathcore;Thy Art Is Murder;288345578;2026-04-24 12:01:10
Tommy Lee;Rap Metal;Tommy Lee;68696;2026-04-24 12:01:16
Tonight Alive;Alternative;Tonight Alive;445594358;2026-04-24 12:01:22
